citing_ut	cited_ut
000221860400001	A1984SU46800007
000088880200004	000074867800007
000315328600013	000090071000011
000442976600014	000178575200009
000303921800006	000249661700001
000343942100035	000336117000003
000223844400004	000085165300001
000229161000016	A1996VY44800063
000367395900045	000080080100002
000296996400008	A1994PW93200001
000445008700005	000358575700004
000493275900001	A1993MK42300001
000175060900004	A1996VP24600017
000239248000015	A1992HL12200058
000338231900004	000175370300005
000379626200019	A1989AD70900002
000453017200008	000084758600047
000336707900002	000226359300003
000257009600006	000179842600015
000171293800005	A1994PA36700013
000229283000015	000167854100008
000288512400003	000085186900036
000349057200019	000273292800042
000313059000006	000174289100001
000338763800096	000280605400010
000397027300002	000352003800012
000485728900009	000324871300001
000491256100008	000392488900007
000250265800019	000170502300001
000081655400007	A1988L685500011
000382495500012	000330172600001
000389733300004	000074934100003
000371081600008	000311443500008
000475654100006	000378182500008
000406965300005	A1996VN42500031
000243506100019	000085104700012
000416185100005	000375935900009
A1996TX91000002	A1986F015100010
000371751000001	000309636200016
000440847100005	000374112900037
000450552400001	000372310700001
000297179500007	000228623600015
000514254900020	000429202900004
000326773800003	000238776400011
000431097500016	000296679800001
000340853300015	000280631900007
A1996WG56100003	A1985AGD1700007
000265500300004	000231603900009
000261161000014	000181869800021
000325191900005	000266109500026
000483926100004	000271226700009
000512529700001	000369956400005
000232811800030	000224759000001
000394648700003	000286214100028
000167719800002	A1996VD63500017
000181093800010	000168683700016
000353382900021	A1992KX78900003
000451654100008	000276407300020
000444295600050	000272829800002
000357755300012	000270647500019
000454130300002	000242146300001
000259565700009	A1993LA72900014
000165666100007	A1984TL48700005
000088169800003	A1995TP62900001
000304796700011	000174535400014
000334170400011	000166605800004
000308975100006	A1992HD96900002
000497245100001	000284002100005
000382045600002	000256578300012
000336491600005	000173985800001
000484967300001	000335505000038
000382269000145	000246188700008
000439497700001	000387909300012
000289539100002	A1995TN08700033
A1996VB01700042	A1987K497900014
000403255500010	000262150300002
000230178200004	A1981NA16700001
000264371900004	000180426800044
000345589900003	A1994PU19900018
000354533300002	A1985APS3000001
000274564700033	000188791900010
000302289200004	000237190200006
000289430400001	000275413800032
000224951800010	000082435700005
000323736200004	000232653600002
000251458300062	000083042300007
000360416800021	000300012100001
000179946400008	000071313300007
000325191900006	000263164000010
000310829600009	000290507200008
000487963900002	000452622800024
000488866900002	000177975200041
000346567300027	000314906200003
000259323300013	A1987L270900017
000317421800001	000085736300003
000311500300001	000245099300015
000328074000017	000298596600014
A1995QZ25200002	A1993LY49800004
000166930600006	A1989DW13200017
000507444700001	000366678600042
000398567200010	000073129000055
000313344300018	000279576600009
000240011500003	000080183700009
000307961900011	000226737700014
000484404900028	000353740700015
000362533800019	000229163400011
000328822200013	000169778700036
000486467600001	A1991FZ15100004
000407805000009	000252776200005
000250702800006	000185182700007
000180756600006	000084725400006
000223834300003	A1991FA14000027
000230028500004	000186421900037
000273140400004	000225943700002
000418653700007	000292929500011
000457690600003	000279934400012
000430661500020	000395604800003
000236096100002	A1995TU23800004
000080588000017	A1992HE27600051
000366973500018	000254619400001
000405821200006	000232035900020
000312665100007	000173473500011
000326853800008	000271362400002
000419552900010	000243735000001
000346478900004	A1990CQ34800057
000350456000016	000235712600010
000318980800014	000234942300015
000356233800005	000294075400015
000312717400009	000071747000007
000448074800001	000281239100006
000293999300003	000260001200002
000371249300013	000271362400002
000261654100015	000086131600001
000244822500011	000165661500009
000313918200050	000221502800010
000345805700011	000169918200044
000363046800020	000226640100003
000367037700001	000165993700083
000334679000009	000239660000004
000339799100008	000235238100001
000418653700006	000270721000014
000249105500016	A1986E040500028
000513491000001	000180007000009
000485654700021	000346241800027
000430025500001	000336052400010
000329271700008	000172105000001
000228711600006	000082633300008
000184416000017	000170772900008
000226759000032	000086191400007
000336947800003	A1983QF92900001
000402213400024	000383568700011
000473764600001	000278978800021
000287051700021	A1994MR04500019
000343639600025	000083638800005
000345050800011	000309437100001
000285759200009	000262090400007
000424194100011	000353701200011
000453557100001	000230695700002
000365150100007	000177119700010
000465319300009	000249690700006
000438829400019	000078711400005
A1991FM90800026	A1987G403300070
000268505000013	000174289300003
000286476200005	000235512200016
000360936200021	000075673100018
000432525400003	A1996VK13500009
000388543400005	000188791900010
000269771000002	A1996VM45500007
000414769800010	000344906800003
000371434500110	000292639100030
000249727400001	000174752500044
000250691500001	000087042700008
000315076100039	000076222200055
000436468800004	A1980JL31400001
000224132000006	A1994PC77000021
000267604900013	000172738200004
000248489100003	A1992HF77100003
A1997XR97600006	A1993MD44900002
000222291400022	000166190100011
000487350200001	000284735200001
000416080300010	000289926500007
000261461900002	000232792200005
000171505200018	000088285100006
000283690900006	000252713100013
000177359500004	A1997XV03400004
A1986C817600004	A1984SR20300009
A1986E863700009	A1983RA75000008
000184202900004	000087266900011
000455594200010	000370207600001
000243839400006	A1990DM93500017
000233037000003	A1997XQ36000002
000418811600003	A1996TX76500009
000434411100002	000227633900028
000269586500002	000179145900005
000400718600016	000313417700001
000238641000001	000086688800002
000279194900009	000186190600007
000397337400002	000221419600014
000400943400001	000337613700007
000295426900006	000245290600014
000244320100010	000174841500051
000346432900002	A1994NZ55100011
000325486300001	000238250300033
000315762300002	000224779000009
000378758500016	000179229700006
000394372800002	000275414800002
000462000400021	000182853100041
000406777500014	000343923200011
000458122500015	000365926300108
000450012500001	000405252100002
000368341200009	000180493600013
000490384200001	000413385400015
000395922500001	A1995PV36000012
000425019400030	000273116100025
000467919700001	000382599600022
000484489400002	000258391900003
000517294300005	000255604100014
000394557400018	000228426700009
000259679300003	000182600000001
000313127000006	000302722800003
000370095800001	A1989AC83100014
000513433200001	000207470200002
000457690600237	000082636700008
A1997WH55400003	A1991GV87700078
000072283600001	A1993LY98400015
000168623300011	000081143700014
000263735800005	A1993MK70500003
000400132200005	A1993MD68500004
A1996TR96200002	A1980KC81300002
000309040100001	000252447200008
000455121500004	000396836800014
A1996VB71900006	A1985AAR0900004
000336687900068	000321500200042
000249613400032	000239370300023
000346132000017	000180426800044
000320321300001	000303051500022
000499647100006	000298346700018
000286367400007	000231708500007
000251671700008	000089998600020
000325191900012	000269405500020
000464771500006	000225943700002
000167795900010	000072195300003
000080441500002	A1981MJ45400004
000244822500002	000071381100012
000296146600005	A1984TP99000001
000383801600017	000342835800012
000359485500001	A1991EQ44800004
000434153600002	000381652100011
000398662100016	000378929600014
000370884600005	000347151400013
000233829100015	000073595500035
000303061800003	000176689500007
000423005200002	000330172600001
000431613500022	000266521500017
000291417100003	000259910700010
000273758200008	000248741900002
000088009000005	000078090900019
000390319900001	000286786200013
000319433700005	000237104400005
000427332900014	000228962400028
000303472100002	000261956100013
000071822300031	A1987G578600037
000220955800007	A1988N549200006
000509617600007	000352144600004
000409394300014	000350210400099
000168258400023	A1996TT55800026
000474467902017	000324815300016
000485291800005	000082435700008
000317159900047	000084550200005
000457379300011	000312197000001
000260164500001	000167816700003
000184026500004	A1991GE37500001
000378631900002	A1981LX52100025
000410388000001	000166424600005
000369519600005	000222869600016
A1992HC53700001	A1988P793000014
000463663500061	000178203800008
000516507900001	000394898200018
000367530600004	000297416300013
000266997000016	000246265200009
000486313200004	000257947000024
000285361000004	000277830200009
000342629300002	000271362400002
000310339400012	000279503900009
000492484700024	000312453900005
000276084300004	000183980600002
000262478700007	A1994PF88100005
000089957700032	A1994NJ50800007
000440265300039	000362454800016
000446938400001	000207610600004
000236192800003	000172451600009
000475654100005	000357878700029
000170346000068	000085475100002
000237652900008	A1990DD32400012
000235892700011	A1992JP78600006
000397316500002	000265549400007
A1992KH31700044	A1983QZ96400031
000452394500004	000234378700024
000183939900008	A1993LW03100081
000251523600009	000238699200025
000423780000006	000295395300035
000072283600001	A1989AW53300001
000084783000011	A1991FB95200030
000464534700002	000233043800017
000476773900023	000404700200008
000349996200011	000329536400040
000353007200040	000299973600022
000499484800022	000223488100006
000288046200002	000089511100018
000170519500007	A1996UT53100024
000085100100005	A1991GP22400004
000336162300001	000227575000001
000352562700005	000304256500004
000381848500001	000253453600040
000264790600050	000248144600007
000176689500007	000078473600044
000343298700006	000165254600012
000316661600006	A1984TD04100007
000516221800002	000478642300006
000289805600011	000238712400006
000259708800029	000084550200005
000088003200012	A1991GG23900007
000307259800015	A1997YC45700005
000266692800018	000236296200004
000221928500019	000083109200012
000484177900001	000412754400028
000485737900009	000230978200002
